manufacturer;name;generation;internaloem;model_year;sop;segment;length;width;height;track_front;track_rear;track_mean;wheelbase;contact_area;total;front_doors;rear_doors;hood;tailgate;front_fenders;hinges;fuelflap;frontend;total;steel;aluminium;magnesium;thermoplastics;other;control;process_stability;re_use_factor;mechanisation;intended_production_vol;production_lead_time;no_parts;parts100g;parts1kg;parts5kg;parts_more5kg
Audi;TT;3;8S;2014;July 2014;C;3968;1795;1326;1446;1428;1437;2355;3.38;259;20.6;na;9.7;10;1.6;8.6;0;nsp;209;65;33.8;0;0;1.2;100;nsp;nsp;nsp;nsp;nsp;304;nsp;nsp;nsp;nsp
BMW;i8;1;I12;2014;March 2014;S;4455;1903;1265;1512;1578;1545;2632;4.067;260.2;18.048;na;7.05;2.3;5.6;6.298;0;7.708;229.4;6;22;0;60;12;100;nsp;0;99;8000;700;131;28;76;18;9
Chevrolet;Corvette Z06;7;Y1BC - Coupe;2014;Nov 14;S;4268;1918;1210;1472;1442;1457;2547;3.711;278.82;33.42;na;4.63;10.23;9.46;13.16;0;0;207.9;11;53;0;33;3;100;82;0;98;36000;190;749;26;646;73;4
Chevrolet;Corvette Z06;7;Y1AC - Convertible;2014;Nov 14;S;4268;1918;1210;1472;1442;1457;2547;3.711;278.82;33.42;na;4.63;10.23;9.46;13.16;0;0;207.9;11;53;0;33;3;100;82;0;98;36000;190;749;26;646;73;4
Ford;Mustang;11;S550;2015;Aug 14;S;4380;1882;1352;1454;1518;1486;2557;3.799;403.86;37.8;na;13.5;10.04;5.1;nsp;0;4.37;358.21;94;6;0;0;0;100;91;51;84;180000;240;391;23;140;196;32
Jaguar;F Type Coupé;1;X152 Coupé;2014;March 2014;S;4247;1885;1283;1469;1517;1493;2465;3.68;321;19.4;na;14;8.15;1.64;5.13;0;10.02;272.3;18;77;0;4;1;100;89;74;77;14000;930;247;46;130;55;16
Mazda;2;4;;2014;Jul 14;B;3857;1661;1470;1375;1362;1369;2416;3.306;272.91;26.83;18.26;10.99;8.62;4.72;2.9;0;2.8;200.6;100;0;0;0;0;100;90;77;96;61080;nsp;477;195;230;44;8
Mercedes Benz;C-Class;5;W205;2014;January 2014;D;4452;1774;1413;1461;1444;1453;2670;3.878;340;18;16.4;10.7;6.1;2.9;10.8;0;10.8;275;70;28.8;0;1.2;0;100;86;nsp;98;nsp;1100;412;80;213;111;8
Peugeot;308;2;T91;2014;Sep 13;C;4040;1768;1428;1434;1429;1432;2463;3.526;315.4;27.892;20.567;7.59;11.397;2.327;3.286;0;0;269.9;93.7;2.6;0;3.7;0;100;92;5;99;240000;350;328;46;186;89;7
Renault;Twingo;3;R4S;2014;Apr 14;A;3411;1607;1519;1314;1321;1317;2344;3.089;269.36;26.306;20.477;4.409;3.016;4.207;3.688;0.399;3.609;206.859;94;0;0;6;0;100;84;9;48;16000;210;384;77;225;74;8
Subaru;WRX;4;;2014;January 2014;C;4365;1759;1446;1408;1417;1412;2491;3.52;363.5;26.7;21.2;6.2;8.1;4.7;10.2;0;na;286.4;96;4;0;0;0;100;93;nsp;nsp;24000;140;717;326;265;120;6
Volvo;XC 90;2;;2015;February 2015;J;4703;1968;1740;1535;1537;1536;2805;4.31;475;35.3;30.8;12.1;14.7;4.6;nsp;0;na;377.2;94;4;0;2;0;100;84;2;99;70000;180;381;73;170;120;18
