
manufacturer;name;generation;internaloem;model_year;sop;segment;length;width;height;track_front;track_rear;track_mean;wheelbase;contact_area;total;front_doors;rear_doors;hood;tailgate;front_fenders;hinges;fuelflap;frontend;total;steel;aluminium;magnesium;thermoplastics;other;control;process_stability;re_use_factor;mechanisation;intended_production_vol;production_lead_time;no_parts;parts100g;parts1kg;parts5kg;parts_more5kg
Audi;TT;3;8S;2014;July 2014;C;3.968;1.795;1.326;1.446;1.428;1.437;2.355;3,38;259;20,6;n.a.;9,7;10;1,6;8,6;0;n.sp.;209;65;33,8;0;0;1,2;100;n.sp.;n.sp.;n.sp.;n.sp.;n.sp.;304;n.sp.;n.sp.;n.sp.;n.sp.
BMW;i8;1;I12;2014;March 2014;S;4.455;1.903;1.265;1.512;1.578;1.545;2.632;4,067;260,2;18,048;n.a.;7,05;2,3;5,6;6,298;0;7,708;229,4;6;22;0;60;12;100;n.sp.;0;99;8.000;700;131;28;76;18;9
Chevrolet;Corvette Z06;7;Y1BC - Coupe;2014;Nov 14;S;4.268;1.918;1.210;1.472;1.442;1.457;2.547;3,711;278,82;33,42;n.a.;4,63;10,23;9,46;13,16;0;0;207,9;11;53;0;33;3;100;82;0;98;36.000;190;749;26;646;73;4
Chevrolet;Corvette Z06;7;Y1AC - Convertible;2014;Nov 14;S;4.268;1.918;1.210;1.472;1.442;1.457;2.547;3,711;278,82;33,42;n.a.;4,63;10,23;9,46;13,16;0;0;207,9;11;53;0;33;3;100;82;0;98;36.000;190;749;26;646;73;4
Ford;Mustang;11;S550;2015;Aug 14;S;4.380;1.882;1.352;1.454;1.518;1.486;2.557;3,799;403,86;37,8;n.a.;13,5;10,04;5,1;n.sp.;0;4,37;358,21;94;6;0;0;0;100;91;51;84;180.000;240;391;23;140;196;32
Jaguar;F Type Coupé;1;X152 Coupé;2014;March 2014;S;4.247;1.885;1.283;1.469;1.517;1.493;2.465;3,68;321;19,4;n.a.;14;8,15;1,64;5,13;0;10,02;272,3;18;77;0;4;1;100;89;74;77;14.000;930;247;46;130;55;16
Mazda;2;4;;2014;Jul 14;B;3.857;1.661;1.470;1.375;1.362;1.369;2.416;3,306;272,91;26,83;18,26;10,99;8,62;4,72;2,9;0;2,8;200,6;100;0;0;0;0;100;90;77;96;61.080;n.sp.;477;195;230;44;8
Mercedes Benz;C-Class;5;W205;2014;January 2014;D;4.452;1.774;1.413;1.461;1.444;1.453;2.670;3,878;340;18;16,4;10,7;6,1;2,9;10,8;0;10,8;275;70;28,8;0;1,2;0;100;86;n.sp.;98;n.sp.;1.100;412;80;213;111;8
Peugeot;308;2;T91;2014;Sep 13;C;4.040;1.768;1.428;1.434;1.429;1.432;2.463;3,526;315,4;27,892;20,567;7,59;11,397;2,327;3,286;0;0;269,9;93,7;2,6;0;3,7;0;100;92;5;99;240.000;350;328;46;186;89;7
Renault;Twingo;3;R4S;2014;Apr 14;A;3.411;1.607;1.519;1.314;1.321;1.317;2.344;3,089;269,36;26,306;20,477;4,409;3,016;4,207;3,688;0,399;3,609;206,859;94;0;0;6;0;100;84;9;48;16.000;210;384;77;225;74;8
Subaru;WRX;4;;2014;January 2014;C;4.365;1.759;1.446;1.408;1.417;1.412;2.491;3,52;363,5;26,7;21,2;6,2;8,1;4,7;10,2;0;n.a.;286,4;96;4;0;0;0;100;93;n.sp.;n.sp.;24.000;140;717;326;265;120;6
Volvo;XC 90;2;;2015;February 2015;J;4.703;1.968;1.740;1.535;1.537;1.536;2.805;4,31;475;35,3;30,8;12,1;14,7;4,6;n.sp.;0;n.a.;377,2;94;4;0;2;0;100;84;2;99;70.000;180;381;73;170;120;18
